race_year_id,event,race,city,country,date,start_time,participation,distance,elevation_gain,elevation_loss,aid_stations,participants,latitude,longitude
68140,Peak District Ultras,Millstone 100,Castleton,United Kingdom,2021-09-03,19:00:00,Solo,166.9,4520,-4520,10,150,53.3406983,-1.7867905115307363
72496,UTMB®,UTMB®,Chamonix,France,2021-08-27,17:00:00,Solo,170.7,9930,-9930,11,2300,45.9246705,6.8727506
69855,Grand Raid des Pyrénées,Ultra Tour 160,vielle-Aure,France,2021-08-20,05:00:00,Solo,167.0,9980,-9980,13,600,42.82998,0.3271205
67856,Persenk Ultra,PERSENK ULTRA,Asenovgrad,Bulgaria,2021-08-20,18:00:00,Solo,164.0,7490,-7500,13,150,42.0073633,24.8762702
66887,Swiss Alps 100,160KM,Münster,Switzerland,2021-08-15,17:00:00,Solo,159.9,9850,-9850,15,300,46.947237900000005,7.451578652797462
68241,Ultra Trail des Sources,160KM,Spa,Belgium,2021-08-14,07:00:00,Solo,163.9,4630,-4660,8,200,50.4920654,5.8627569
69945,Bunketorp Backyard Ultra Trail,BBUT - 24 loops,LINDOME,Sweden,2021-08-07,10:00:00,Solo,163.7,3100,-3100,23,100,57.5791257,12.0876599
67218,Centurion North Downs Way 100,Centurion North Downs Way 100,farnham,United Kingdom,2021-08-07,06:00:00,Solo,165.2,3130,-3170,13,300,51.2151749,-0.7984854
65713,Beacons 50 & Beacons 100,Beacons 100,Brecon,United Kingdom,2021-08-06,20:00:00,Solo,164.8,7050,-7050,5,50,51.9472048,-3.391696
66425,Iznik Ultra,160 K,Iznik,Turkey,2021-08-06,18:00:00,Solo,149.4,2930,-3040,12,100,40.4303445,29.7223732
66003,KAT100,KAT100miles,Fieberbrunn,Austria,2021-08-05,18:00:00,Solo,173.9,9980,-9980,15,170,47.4762087,12.5454618
68455,The Gax 100 miles,The Gax 100 miles,Ystad,Sweden,2021-07-24,00:00:00,Solo,162.3,1510,-1510,3,75,55.4295203,13.8201171
68575,Terres Monviso,100 Miglia Monviso,Saluzzo,Italy,2021-07-23,21:00:00,Solo,168.8,8380,-8380,17,300,44.6446052,7.4926009
69019,The Gax 100 miles,The Gax 100 miles Tuesday,Ystad,Sweden,2021-07-20,00:00:00,Solo,162.3,1500,-1500,3,50,55.4295203,13.8201171
70168,Centurion Wendover Woods 100,Wendover Woods 100,Wendover,United Kingdom,2021-07-09,08:00:00,Solo,168.0,6610,-6600,19,120,51.7676884,-0.7443215
67402,NUTS Ylläs Pallas,160K,Äkäslompolo,Finland,2021-07-09,12:00:00,Solo,164.3,4020,-4100,8,250,67.6065712,24.1462781
71066,ULTRA 01,Ultra 01 170 KM,Oyonnax,France,2021-07-09,18:00:00,Solo,174.9,7590,-7590,15,500,46.2575174,5.6556181
64191,Val d’Aran by UTMB®,VDA,Vielha,Spain,2021-07-09,18:00:00,Solo,162.9,10690,-10690,14,1500,42.7017572,0.7954744
69065,Austria Backyard Ultra,24 LOOPS,Frankenmarkt,Austria,2021-07-03,09:00:00,Solo,160.7,2570,-2570,24,200,47.9855432,13.4191655
69919,Jurassic Coast 100,Jurassic Coast 100M,Swanage,United Kingdom,2021-06-19,08:00:00,Solo,168.2,4740,-4680,9,100,50.6086976,-1.9571971
71777,Oh Meu Deus,100 Milhas OMD,Seia,Portugal,2021-06-11,16:00:00,Solo,159.2,7330,-7330,9,85,40.4200998,-7.7028054
71778,Oh Meu Deus,OH MEU DEUS 160 TEAM,Seia,Portugal,2021-06-11,16:00:00,Team,159.2,7330,-7330,9,5,40.4200998,-7.7028054
69315,Salomon Hengill Ultra-Trail ©,100miles,Hveragerdi,Iceland,2021-06-04,14:00:00,Solo,161.7,5530,-5550,10,200,63.9975943,-21.1868303
64849,The Arctic Triple Lofoten Ultra-Trail®,100 Miles,SVOLVÆR,Norway,2021-06-04,12:00:00,Solo,165.0,7046,-7047,10,150,68.2321709,14.5646019
63925,Chester Ultra 50,Chester Ultra 100,chester,United Kingdom,2021-05-29,06:00:00,Solo,167.0,1540,-1550,10,150,53.1908873,-2.8908955
67033,Grand Trail Des Lacs Et Chateaux (GTLC),GT160,Waimes,Belgium,2021-05-29,04:00:00,Solo,165.3,6200,-6200,0,200,50.47241415,6.12229074312927
71209,WHW & Ben Nevis Race,WHW & Ben Nevis Race,FortWilliam,United Kingdom,2021-05-29,11:00:00,Solo,165.4,5110,-5080,9,30,54.6291605,-5.9286779
66840,Festiwal Biegowy ULTRA WAY,PORANEK NA PLAZY 160 km+,Rumia,Poland,2021-05-28,12:00:00,Solo,163.3,3020,-3030,7,200,54.570081,18.384623870396354
67410,NUTS Karhunkierros,166K,Kuusamo,Finland,2021-05-28,14:00:00,Solo,169.6,3910,-3940,7,250,65.9645637,29.1883283
68605,Soria Moria til Verdens Ende,Soria Moria til Verdens Ende,Verdens Ende,Norway,2021-05-22,10:00:00,Solo,163.0,4230,-4310,6,150,59.054593,10.405638
65183,Ultra-Trail® Malopolska,UTM 170,Kasinka Mala,Poland,2021-05-21,17:00:00,Solo,171.8,8640,-8640,8,50,49.7024609,20.0370039
66949,Aktivitus Trailrace,Ultra-Trail®,Jonsered,Sweden,2021-05-13,20:00:00,Solo,169.2,4060,-4060,9,50,57.7469786,12.1712604
67422,Centurion Thames Path 100,Centurion Thames Path 100,London,United Kingdom,2021-05-08,09:00:00,Solo,161.3,3210,-3160,13,300,51.4893335,-0.14405508452768728
67736,The Dales High Way,Dales High Way + High Cup Nick,Saltaire,United Kingdom,2021-05-08,08:30:00,Solo,166.2,4430,-4380,8,200,53.8371089,-1.7906734
68042,Gulag-100,Gulag-100,Litochoro,Greece,2021-05-07,12:00:00,Solo,167.1,14260,-14260,4,40,40.1024494,22.5018169
70440,100 miles of Beskid Wyspowy,100 miles of Beskid Wyspowy,Zalesie,Poland,2021-05-01,06:00:00,Solo,164.5,6610,-6620,8,100,53.7135958,21.0717776
68098,Kullamannen 2021 Covid-19,Kullamannen 100 miles,Kullaberg,Sweden,2021-03-26,09:00:00,Solo,163.6,1910,-1930,4,600,56.29295265593233,12.50439215977641
68348,UTTGN Sport HG | TARRAGONA,Gran Trail Catalunya,Tarragona,Spain,2021-03-05,22:00:00,Solo,169.8,5160,-5160,13,50,41.1172364,1.2546057
68501,Storstenshöjden 100 miles,Storstenshöjden 100 miles,Örebro,Sweden,2021-02-19,06:00:00,Solo,168.4,11550,-11530,0,50,59.2747287,15.2151181
51397,Bèrghem Ultra,Åkersætra 666 m.o.h.,Hamar,Norway,2020-10-10,08:00:00,Solo,163.2,2970,-3360,0,50,61.0014937,11.16479641006573
56693,Centurion Autumn 100,Centurion Autumn 100,Goring-On-Thames,United Kingdom,2020-10-10,09:00:00,Solo,161.5,2060,-2060,16,250,51.52159775,-1.1218711515875066
49589,Täby Extreme Challenge,TEC 100 Miles,Täby,Sweden,2020-10-08,10:00:00,Solo,160.7,1610,-1610,13,180,59.4670482,18.0658494
54013,SPARNATRAIL,P'tiot Sparnatrail,EPERNAY,France,2019-11-10,07:45:00,Solo,33.3,750,-750,1,1800,49.042561,3.9528655
62347,North Coast 100,North Coast 110M,Barnstaple,United Kingdom,2020-10-02,07:00:00,Solo,174.5,5570,-5540,8,50,51.0804057,-4.0600467
60243,Schinder-Trail Backyard Ultra,23 Loops,Rettert,Germany,2020-10-02,20:00:00,Solo,157.2,3060,-3060,23,200,50.2314008,7.9392319
66321,Cold Hawaii Ultra,Cold Hawaii Ultra 100 miles,Thisted,Denmark,2020-09-25,18:00:00,Solo,162.6,2000,-2010,6,50,56.9562093,8.6848749
65591,Mossarun,"Mossarun 2020, 24h/100 miles",Älmhult,Sweden,2020-09-19,12:00:00,Solo,171.8,3940,-3950,0,50,56.55,14.116667
50041,Dragon 100,Dragon 100,Cardiff,United Kingdom,2020-09-12,18:00:00,Solo,165.0,3560,-3550,11,200,51.4816546,-3.1791934
53559,GUUT100+,GUUT100MILES+,Gentofte,Denmark,2020-09-12,09:00:00,Solo,167.4,1610,-1620,1,20,55.7535946,12.541436
62121,Garmin Ultra Race Radków,Challange 158,RADKÓW,Poland,2020-09-11,05:00:00,Solo,163.9,5700,-5700,11,50,50.5042182,16.401351
49901,Centurion Thames Path 100,Centurion Thames Path 100,London,United Kingdom,2020-09-05,09:00:00,Solo,161.3,3160,-3110,13,300,51.4893335,-0.14405508452768728
53999,SwissPeaks Trail,170,Le Bouveret,Switzerland,2020-09-03,10:00:00,Solo,167.0,11140,-12910,15,400,46.382908,6.8540248
57055,100 miles of Beskid Wyspowy,100 miles of Beskid Wyspowy,Zalesie,Poland,2020-08-21,07:00:00,Solo,161.6,6510,-6510,8,100,53.7135958,21.0717776
54829,Persenk Ultra,PERSENK ULTRA,Asenovgrad,Bulgaria,2020-08-21,18:00:00,Solo,164.0,7490,-7500,13,150,42.0073633,24.8762702
61035,ULTRA 01,Ultra 165km,Oyonnax,France,2020-08-21,18:00:00,Solo,167.2,7230,-7230,8,300,46.2575174,5.6556181
54869,Ultra Trail des Sources,Ultra Trail des Sources,Spa,Belgium,2020-08-15,07:00:00,Solo,158.8,4500,-4500,8,200,50.4920654,5.8627569
62503,Bunketorp Backyard Ultra Trail,BBUT - 24 loops,LINDOME,Sweden,2020-08-08,10:00:00,Solo,163.7,3100,-3100,23,120,57.5791257,12.0876599
51393,Centurion North Downs Way 100,Centurion North Downs Way 100,farnham,United Kingdom,2020-08-08,06:00:00,Solo,168.2,3440,-3480,14,300,51.2151749,-0.7984854
53939,Halland Ultra-Beach,100 miles,Göteborg,Sweden,2020-08-08,12:00:00,Solo,161.7,1740,-1750,2,50,57.7072326,11.9670171
51777,Chiemgauer 100,100 Mile,Bergen,Germany,2020-07-31,13:00:00,Solo,0.0,0,0,9,150,49.7808936,7.4176059
50051,Infinity Trail Backyard - Normandie,Infinity Trail - 23 boucles,PAVILLY,France,2020-07-31,14:00:00,Solo,155.3,5160,-5160,1,80,49.5677557,0.9534847
56831,The Gax 100 miles,The Gax 100 miles,Ystad,Sweden,2020-07-25,00:00:00,Solo,160.6,1510,-1510,3,72,55.4295203,13.8201171
50803,Nuts Ylläs Pallas,160K,Äkäslompolo,Finland,2020-07-10,12:00:00,Solo,165.7,4400,-4480,10,250,67.6065712,24.1462781
55429,Soria Moria til Verdens Ende,Soria Moria til Verdens Ende,Verdens Ende,Norway,2020-06-20,10:00:00,Solo,168.6,4670,-5140,6,150,59.054593,10.405638
52827,100 MILLAS® SIERRAS DEL BANDOLERO,100 Millas,Prado del Rey,Spain,2020-03-06,18:00:00,Solo,161.1,6170,-6170,14,500,36.7879415,-5.5572276
51945,Tjörnarparen - Trail Ultra,100 miles,TJÖRNARP,Sweden,2020-02-08,09:00:00,Solo,162.1,2300,-2330,9,50,55.9999833,13.6350456
53283,LE DERNIER HOMME DEBOUT MORVAN,24 Boucles,Chateau-Chinon,France,2020-01-25,11:50:00,Solo,169.9,5740,-5740,1,350,47.0643977,3.9330028
60495,MONTANE® Spine® Races,MONTANE® Spine® Challenger,Edale,United Kingdom,2020-01-11,08:00:00,Solo,174.2,4770,-4770,4,125,53.368733899999995,-1.8223272292790735
60491,MONTANE® Spine® Races,MRT Challenge,Edale,United Kingdom,2020-01-11,11:00:00,Solo,174.2,4770,-4770,4,30,53.368733899999995,-1.8223272292790735
44291,S1 Trail La Corsa Della Bora,Ultra,TRIESTE,Italy,2020-01-04,06:00:00,Solo,166.3,6750,-7110,9,150,45.6496485,13.7772781
43795,Exodus Ultra Marathon,Exodus,Llanfechain,United Kingdom,2019-12-06,19:00:00,Solo,170.0,6550,-6540,3,50,52.7748064,-3.2020552
50463,Kullamannen,Kullamannen Ultra 100 Miles,Kullaberg,Sweden,2019-11-01,09:00:00,Solo,174.4,4260,-4240,11,500,56.29295265593233,12.50439215977641
52353,GRAN VUELTA VALLE DEL GENAL,100 millas Valle del Genal,BENARRABA,Spain,2019-10-25,21:00:00,Solo,162.0,7400,-7400,20,220,36.5508289,-5.2756812
56729,Rodopi Ultra Trail,Rodopi Advendurun,Haidou,Greece,2019-10-18,06:00:00,Solo,162.9,6910,-6910,6,200,41.3320037,24.71209124474546
48019,Le Grand Raid De La Réunion,La Diagonale Des Fous,Saint-Denis,France,2019-10-17,22:00:00,Solo,168.1,9610,-9560,15,2900,48.935773,2.3580232
50683,Crimea X Run,Stage Race,Yalta,Ukraine,2019-10-16,10:00:00,Solo,169.1,8310,-8140,11,200,44.4970713,34.1586871
40741,Centurion Autumn 100,Centurion Autumn 100,Goring-On-Thames,United Kingdom,2019-10-12,09:00:00,Solo,161.5,2060,-2060,14,250,51.52159775,-1.1218711515875066
52499,Virgin Forest Trail,Ultra-Trail®,PARANESTI,Greece,2019-10-11,00:00:00,Solo,163.9,7260,-7260,15,150,41.2666146,24.5002964
42707,100 Miles Sud De France,100 Miles,bolquere,France,2019-10-04,10:00:00,Solo,172.5,8420,-10160,15,500,42.5023721,2.0786803
45167,SLO100,SLO100 KRPAN 171 km,Cerknica,Slovenia,2019-10-04,15:00:00,Solo,173.5,7790,-7790,11,150,45.7936578,14.361883
46701,Ultra-Trail el Rincon,UTR 170K,Castielfabib,Spain,2019-10-04,19:00:00,Solo,172.1,6730,-6720,15,100,40.1304259,-1.3041318
45885,Black River Run,100 Miles,Västerås,Sweden,2019-09-21,10:00:00,Solo,161.5,1030,-1030,9,200,59.6110992,16.5463679
36169,Cotswold Way Century,102 Miles,Chipping Campden,United Kingdom,2019-09-21,12:00:00,Solo,165.6,4130,-4240,10,130,52.0496652,-1.7813927
42807,GARMIN ULTRA RACE STOLOWE MOUNTAINS,Challange 158,RADKÓW,Poland,2019-09-13,05:00:00,Solo,158.9,5350,-5340,11,50,50.5042182,16.401351
49517,Vadrózsa,Vadrózsa 160,Rózsaszentmárton,Hungary,2019-09-07,06:45:00,Solo,159.5,6820,-6820,17,100,47.7828558,19.7419306
39131,SwissPeaks Trail,170,Le Bouveret,Switzerland,2019-09-06,13:00:00,Solo,168.7,11780,-13010,13,400,46.382908,6.8540248
39881,UTMB®,UTMB®,Chamonix,France,2019-08-30,18:00:00,Solo,170.7,9930,-9930,16,2300,45.9246705,6.8727506
48837,Persenk Ultra,PERSENK ULTRA,Asenovgrad,Bulgaria,2019-08-16,18:00:00,Solo,164.6,7090,-7100,13,150,42.0073633,24.8762702
38185,Swiss Alps 100,160KM,Münster,Switzerland,2019-08-16,07:00:00,Solo,157.6,9650,-9650,15,300,46.947237900000005,7.451578652797462
